Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,RbtID,GripperStat,DO1,DO2,DO3,DO4,X,Y,Z,Q_X,Q_Y,Q_Z,Q_W
-39.55851,-109.7065,97.92117,11.7853,92.62148,90,0,0,0,0,0,0,1.2, 4.7, -3.1,0.0, 0.7, 0.0, 0.7,
-39.55851,-109.7065,97.92117,11.7853,92.62148,90,0,0,0,0,0,0,1.2, 4.7, -3.1,0.0, 0.7, 0.0, 0.7,
-23.52843,-109.1156,90.37399,18.74164,108.6515,90,0,0,0,0,0,0,1.8, 5.1, -2.6,0.0, 0.7, 0.0, 0.7,
77.28867,-118.7249,123.32,175.4048,150.5313,-90,0,0,0,0,0,0,1.1, 5.2, 1.0,0.0, 0.7, 0.0, 0.7,
113.518,-90.85583,113.2896,157.5662,114.302,-90,0,0,0,0,0,0,0.5, 4.5, 2.8,0.0, 0.7, 0.0, 0.7,
121.0653,-77.47378,98.55725,158.9165,106.7547,-90,0,0,0,0,0,0,0.3, 4.5, 3.8,0.0, 0.7, 0.0, 0.7,
112.962,-79.99558,76.9147,-176.9191,114.8581,-90,0,0,0,0,0,0,1.0, 6.1, 3.8,0.0, 0.7, 0.0, 0.7,
100.3312,-90.38,77.85461,-167.4746,127.4889,-90,0,0,0,0,0,0,1.4, 6.8, 2.8,0.0, 0.7, 0.0, 0.7,
23.45748,-99.61048,50.84942,48.76107,155.6375,90,0,0,0,0,0,0,2.1, 7.0, -0.6,0.0, 0.7, 0.0, 0.7,
-11.97564,-86.09223,42.71213,43.38011,120.2044,90,0,0,0,0,0,0,2.5, 6.8, -2.9,0.0, 0.7, 0.0, 0.7,
