Jnt_1,Jnt_2,Jnt_3,Jnt_4,Jnt_5,Jnt_6,Robot_ID,Gripper_status,DO1,DO2,DO3,DO4,Bypass_active?,Chng_Rbots,X,Y,Z,Q_X,Q_Y,Q_Z,Q_W,Mouse_pos_X,Mouse_pos_Y,Screen_mode,Button_active
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1198.616,2305.605,portrait,Start Recording
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,188.2353,2330.519,portrait,
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,354.3253,2408.028,portrait,
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,387.5433,2421.868,portrait,
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,597.9239,2084.152,portrait,Enable or Disable Main Menu Button
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,913.4948,1948.512,portrait,
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1184.775,1718.754,portrait,
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1195.848,2053.702,portrait,
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1029.758,1259.239,portrait,
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1126.644,1082.076,portrait,
144.0703,-97.63513,98.78712,-1.151994,54.07038,-90,0,0,0,1,1,1,0,0,1.1, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1134.948,1082.076,portrait,
170.8382,-99.42393,100.2884,-0.8644909,80.83824,-90,0,0,0,1,1,1,0,0,-0.6, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,885.8131,1073.772,portrait,Slider4
-153.2141,-84.7039,86.14133,-1.437427,116.7859,-90,0,0,0,1,1,1,0,0,-2.9, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,525.9516,1065.467,portrait,Slider4
-147.8492,-80.09492,80.87188,-0.7769621,122.1508,-90,0,0,0,1,1,1,0,0,-3.0, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,517.6471,1057.163,portrait,Slider4
112.0431,-55.95481,46.97978,8.975026,22.04313,-89.99999,0,0,0,1,1,1,0,0,5.3, 4.0, 4.1,0.0, -0.7, 0.0, 0.7,1777.163,1026.713,portrait,Slider4
