Frame Number, Timestamp
55804156, 21494633.555565
55804157, 21494633.598986
55804158, 21494633.628815
55804159, 21494633.646562
55804160, 21494633.674125
55804161, 21494633.688473
55804162, 21494633.705842
55804163, 21494633.720945
55804164, 21494633.737559
55804165, 21494633.753040
55804166, 21494634.474597
55804167, 21494642.566162
55804168, 21494650.960547
55804169, 21494659.021150
55804170, 21494667.321140
55804171, 21494676.189767
55804172, 21494684.015137
55804173, 21494692.185239
55804174, 21494700.798621
55804175, 21494709.035933
55804176, 21494717.223403
55804177, 21494725.420691
55804178, 21494733.829424
55804179, 21494742.115443
55804180, 21494750.992000
55804181, 21494759.163234
55804182, 21494767.246492
55804183, 21494775.878754
55804184, 21494784.027711
55804185, 21494792.133246
55804186, 21494800.363384
55804187, 21494809.270146
55804188, 21494817.105711
55804189, 21494825.390220
55804190, 21494833.855591
55804191, 21494841.973586
55804192, 21494850.958131
55804193, 21494861.039926
55804194, 21494867.341001
55804195, 21494875.395941
55804196, 21494884.069358
55804197, 21494892.296097
55804198, 21494901.008028
55804199, 21494909.140749
55804200, 21494917.194934
55804201, 21494925.869484
55804202, 21494933.907432
55804203, 21494942.827033
55804204, 21494950.587082
55804205, 21494959.535756
55804206, 21494967.300713
55804207, 21494975.593529
55804208, 21494983.977719
55804209, 21494992.165190
55804210, 21495002.646088
55804211, 21495008.845217
55804212, 21495017.198068
55804213, 21495026.135037
55804214, 21495034.564159
55804215, 21495042.338179
55804216, 21495050.556233
55804217, 21495059.422972
55804218, 21495067.278549
55804219, 21495076.245725
55804220, 21495083.762989
55804221, 21495092.084123
55804222, 21495100.939535
55804223, 21495108.943123
55804224, 21495117.515727
55804225, 21495125.620885
55804226, 21495134.114951
55804227, 21495142.243897
55804228, 21495154.448453
55804229, 21495159.064006
55804230, 21495167.439890
55804231, 21495176.315313
55804232, 21495183.764235
55804233, 21495193.617594
55804234, 21495201.151471
55804235, 21495209.811296
55804236, 21495217.288914
55804237, 21495225.424656
55804238, 21495234.196999
55804239, 21495242.336517
55804240, 21495250.552306
55804241, 21495258.743175
55804242, 21495267.279531
55804243, 21495275.925385
55804244, 21495283.808147
55804245, 21495292.222922
55804246, 21495301.353968
55804247, 21495309.040766
55804248, 21495317.746655
55804249, 21495325.675860
55804250, 21495334.114045
55804251, 21495342.197681
55804252, 21495351.862626
55804253, 21495358.791619
55804254, 21495367.196199
55804255, 21495375.852625
55804256, 21495384.341405
55804257, 21495392.358209
55804258, 21495400.936099
55804259, 21495408.826035
55804260, 21495417.248361
55804261, 21495425.929331
55804262, 21495433.901580
55804263, 21495442.305027
55804264, 21495450.992415
55804265, 21495458.797018
55804266, 21495467.411911
55804267, 21495475.837635
55804268, 21495484.381920
55804269, 21495492.295266
55804270, 21495500.578643
55804271, 21495509.774633
55804272, 21495517.179755
55804273, 21495525.363072
55804274, 21495533.926236
55804275, 21495543.508114
55804276, 21495550.502050
55804277, 21495559.369922
55804278, 21495567.295351
55804279, 21495575.355200
55804280, 21495583.965939
55804281, 21495592.255356
55804282, 21495600.606319
55804283, 21495609.266144
55804284, 21495617.312399
55804285, 21495626.962997
55804286, 21495634.237476
55804287, 21495642.868227
