Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55883974, 22159707.078174, 0.000334, 0.000930, 0.000048, 0.000070
55883975, 22159713.720583, 0.000188, 0.000885, 0.000045, 0.000066
55883976, 22159721.593150, 0.000164, 0.000861, 0.000041, 0.000071
55883977, 22159730.891843, 0.000262, 0.000912, 0.000047, 0.000082
55883978, 22159738.704753, 0.000200, 0.000870, 0.000050, 0.000090
55883979, 22159746.493497, 0.000199, 0.000788, 0.000043, 0.000080
55883980, 22159755.189947, 0.000169, 0.000894, 0.000049, 0.000090
55883981, 22159763.432545, 0.000165, 0.000923, 0.000050, 0.000088
55883982, 22159771.689113, 0.000189, 0.000913, 0.000050, 0.000091
55883983, 22159780.351580, 0.000474, 0.000879, 0.000049, 0.000087
55883984, 22159788.503181, 0.000178, 0.000987, 0.000056, 0.000101
55883985, 22159796.645342, 0.000200, 0.000851, 0.000046, 0.000084
55883986, 22159805.513969, 0.000452, 0.000943, 0.000050, 0.000090
55883987, 22159813.454879, 0.000216, 0.000939, 0.000049, 0.000088
55883988, 22159821.629134, 0.000203, 0.000937, 0.000049, 0.000084
55883989, 22159830.530988, 0.000420, 0.000953, 0.000054, 0.000092
55883990, 22159838.545527, 0.000206, 0.000956, 0.000050, 0.000094
55883991, 22159846.527593, 0.000202, 0.000834, 0.000044, 0.000084
55883992, 22159855.401884, 0.000453, 0.000953, 0.000051, 0.000094
55883993, 22159863.941638, 0.000467, 0.001136, 0.000044, 0.000081
55883994, 22159871.847810, 0.000209, 0.000952, 0.000052, 0.000093
55883995, 22159880.380767, 0.000373, 0.000932, 0.000048, 0.000090
55883996, 22159888.324698, 0.000211, 0.000928, 0.000050, 0.000091
55883997, 22159896.935060, 0.000469, 0.000859, 0.000042, 0.000074
55883998, 22159905.476701, 0.000367, 0.000944, 0.000049, 0.000092
55883999, 22159913.517670, 0.000198, 0.000908, 0.000048, 0.000088
55884000, 22159921.704008, 0.000217, 0.000917, 0.000048, 0.000093
55884001, 22159930.294358, 0.000346, 0.000933, 0.000047, 0.000083
55884002, 22159938.586796, 0.000259, 0.000965, 0.000052, 0.000094
55884003, 22159946.707812, 0.000190, 0.000804, 0.000043, 0.000075
55884004, 22159955.410681, 0.000419, 0.000942, 0.000053, 0.000093
55884005, 22159963.246246, 0.000189, 0.000900, 0.000046, 0.000081
55884006, 22159971.724832, 0.000180, 0.000969, 0.000050, 0.000093
55884007, 22159980.357093, 0.000386, 0.000907, 0.000047, 0.000084
55884008, 22159988.441106, 0.000166, 0.000960, 0.000051, 0.000094
55884009, 22159996.507751, 0.000155, 0.000819, 0.000041, 0.000074
55884010, 22160005.018809, 0.000173, 0.000942, 0.000048, 0.000078
55884011, 22160013.413949, 0.000179, 0.000898, 0.000046, 0.000076
55884012, 22160022.100959, 0.000418, 0.001096, 0.000048, 0.000077
55884013, 22160035.630826, 0.000416, 0.000930, 0.000045, 0.000080
55884014, 22160040.917718, 0.000176, 0.000944, 0.000050, 0.000091
55884015, 22160051.068988, 0.000415, 0.000917, 0.000040, 0.000073
55884016, 22160055.750240, 0.000394, 0.000943, 0.000049, 0.000079
55884017, 22160063.318100, 0.000164, 0.000899, 0.000046, 0.000081
55884018, 22160072.164072, 0.000477, 0.000986, 0.000051, 0.000097
55884019, 22160080.458398, 0.000420, 0.000952, 0.000046, 0.000081
55884020, 22160088.406860, 0.000185, 0.000946, 0.000054, 0.000095
55884021, 22160097.181469, 0.000407, 0.000943, 0.000048, 0.000082
55884022, 22160105.204314, 0.000302, 0.000873, 0.000045, 0.000073
55884023, 22160113.286062, 0.000157, 0.000832, 0.000042, 0.000067
55884024, 22160121.680825, 0.000190, 0.000948, 0.000047, 0.000083
55884025, 22160130.433912, 0.000434, 0.000961, 0.000044, 0.000082
55884026, 22160138.473371, 0.000153, 0.000859, 0.000044, 0.000083
55884027, 22160146.646116, 0.000163, 0.000923, 0.000048, 0.000083
55884028, 22160155.354271, 0.000409, 0.000923, 0.000047, 0.000091
55884029, 22160163.372585, 0.000155, 0.000831, 0.000043, 0.000080
55884030, 22160171.740539, 0.000167, 0.000938, 0.000049, 0.000093
55884031, 22160180.306346, 0.000324, 0.000910, 0.000049, 0.000091
55884032, 22160188.186843, 0.000148, 0.000819, 0.000045, 0.000087
55884033, 22160196.708851, 0.000174, 0.000926, 0.000049, 0.000089
55884034, 22160205.475153, 0.000427, 0.000940, 0.000050, 0.000093
55884035, 22160213.445137, 0.000195, 0.000933, 0.000049, 0.000089
55884036, 22160222.286956, 0.000461, 0.001117, 0.000050, 0.000091
55884037, 22160230.336232, 0.000390, 0.000940, 0.000047, 0.000095
55884038, 22160238.274876, 0.000163, 0.000859, 0.000045, 0.000083
55884039, 22160246.731940, 0.000185, 0.000949, 0.000050, 0.000090
55884040, 22160255.627375, 0.000475, 0.000946, 0.000051, 0.000093
55884041, 22160263.632852, 0.000202, 0.000933, 0.000046, 0.000092
55884042, 22160271.884889, 0.000167, 0.000923, 0.000048, 0.000096
55884043, 22160280.507333, 0.000389, 0.000918, 0.000044, 0.000083
55884044, 22160288.354603, 0.000162, 0.000857, 0.000042, 0.000075
55884045, 22160296.790522, 0.000189, 0.000901, 0.000048, 0.000088
55884046, 22160305.392954, 0.000313, 0.000929, 0.000049, 0.000089
55884047, 22160313.403716, 0.000179, 0.000924, 0.000049, 0.000086
